Time (s),Laps (#),Speed (m/s),Gear (#),Brake (%),Throttle (%),SteeringAngle (rad)
1035.1666381835732,7,2.225616455078125,1,0.0,1.0,0.11754029244184494
1035.18330485024,7,2.307645797729492,1,0.0,1.0,0.1233452707529068
1035.2166381835732,7,2.471776008605957,1,0.0,1.0,0.1318100094795227
1035.2499715169065,7,2.6353588104248047,1,0.0,1.0,0.13374453783035278
1035.2833048502398,7,2.7992265224456787,1,0.0,1.0,0.1337445080280304
1035.316638183573,7,2.963620185852051,1,0.0,1.0,0.12431275844573975
1035.3499715169064,7,3.128411293029785,1,0.0,1.0,0.10568864643573761
1035.3833048502397,7,3.293610095977783,1,0.0,1.0,0.07884341478347778
1035.416638183573,7,3.458510398864746,1,0.0,1.0,0.04836994409561157
1035.4333048502397,7,3.5408859252929688,1,0.0,1.0,0.030956963077187538
1035.466638183573,7,3.705991744995117,1,0.0,1.0,-0.002902010455727577
1035.4999715169063,7,3.871922254562378,1,0.0,1.0,-0.03119731694459915
1035.5333048502396,7,4.038897514343262,1,0.0,1.0,-0.054413385689258575
1035.5666381835729,7,4.205623626708984,1,0.0,1.0,-0.07206858694553375
1035.5999715169062,7,4.373498439788818,1,0.0,1.0,-0.07642114162445068
1035.6333048502395,7,4.542283535003662,1,0.0,1.0,-0.07642116397619247
1035.6666381835728,7,4.711048603057861,1,0.0,1.0,-0.06819865852594376
1035.699971516906,7,4.881651401519775,1,0.0,1.0,-0.053688596934080124
1035.7166381835727,7,4.9676432609558105,1,0.0,1.0,-0.0457083061337471
1035.749971516906,7,5.1399970054626465,1,0.0,1.0,-0.027811791747808456
1035.7833048502393,7,5.312457084655762,1,0.0,1.0,-0.00991528108716011
1035.8166381835726,7,5.485922336578369,1,0.0,1.0,0.00798123050481081
1035.849971516906,7,5.660853862762451,1,0.0,1.0,0.024184972047805786
1035.8833048502393,7,5.836684703826904,1,0.0,1.0,0.04232370853424072
1035.9166381835726,7,6.015168190002441,1,0.0,1.0,0.06046243757009506
1035.9499715169059,7,6.190875053405762,1,0.0,1.0,0.07400545477867126
1035.9666381835725,7,6.279465198516846,1,0.0,1.0,0.07811765372753143
1035.9999715169058,7,6.460333824157715,1,0.0,1.0,0.08077792078256607
1036.0333048502391,7,6.644845485687256,1,0.0,1.0,0.08102013915777206
1036.0666381835724,7,6.831535339355469,1,0.0,1.0,0.07448990643024445
1036.0999715169057,7,7.0165228843688965,1,0.0,1.0,0.06263872236013412
1036.133304850239,7,7.202882289886475,1,0.0,1.0,0.049821432679891586
1036.1666381835723,7,7.392147541046143,1,0.0,1.0,0.033858973532915115
1036.183304850239,7,7.487234592437744,1,0.0,1.0,0.02708699181675911
1036.2166381835723,7,7.679049015045166,1,0.0,1.0,0.01596246100962162
1036.2499715169056,7,7.871665000915527,1,0.0,1.0,0.012575998902320862
1036.283304850239,7,8.067229270935059,1,0.0,1.0,0.01644597016274929
1036.3166381835722,7,8.263484001159668,1,0.0,1.0,0.03313322737812996
