Time (s),Laps (#),Speed (m/s),Gear (#),Brake (%),Throttle (%),SteeringAngle (rad)
1593.3166422516417,14,6.780747890472412,1,0.0,1.0,0.21670430898666382
1593.3333089183084,14,6.967313289642334,1,0.0,1.0,0.21670430898666382
1593.3666422516417,14,7.146020889282227,1,0.0,1.0,0.21670430898666382
1593.399975584975,14,7.33873987197876,1,0.0,1.0,0.2186392992734909
1593.4333089183083,14,7.542150020599365,1,0.0,1.0,0.22299274802207947
1593.4666422516416,14,7.73937463760376,1,0.0,1.0,0.22662149369716644
1593.499975584975,14,7.835906982421875,1,0.0,1.0,0.227588951587677
1593.5166422516415,14,8.021940231323242,1,0.0,1.0,0.22783026099205017
1593.5499755849748,14,8.208006858825684,1,0.0,1.0,0.22783024609088898
1593.5833089183081,14,8.404892921447754,1,0.0,1.0,0.22783024609088898
1593.6166422516415,14,8.60672378540039,1,0.0,1.0,0.2242024689912796
1593.633308918308,14,8.70634937286377,1,0.0,1.0,0.22105778753757477
1593.683308918308,14,9.021873474121094,1,0.0,1.0,0.20195066928863525
1593.7166422516414,14,9.2135648727417,1,0.0,1.0,0.1787307858467102
1593.7499755849747,14,9.299116134643555,1,0.0,1.0,0.1475306749343872
1593.7666422516413,14,9.484578132629395,1,0.0,1.0,0.12890750169754028
1593.7999755849746,14,9.680322647094727,1,0.0,1.0,0.0870659351348877
1593.833308918308,14,9.870128631591797,1,0.0,1.0,0.042323701083660126
1593.8666422516412,14,10.041814804077148,1,0.0,1.0,-0.001934985164552927
1593.8999755849745,14,10.197243690490723,1,0.0,1.0,-0.05199489742517471
1593.9333089183078,14,10.345749855041504,1,0.0,1.0,-0.10834328830242157
1593.9666422516411,14,10.495809555053711,1,0.0,1.0,-0.17266911268234253
1593.9999755849744,14,10.648103713989258,1,0.0,1.0,-0.2524692714214325
1594.016642251641,14,10.730107307434082,1,0.0,1.0,-0.29236799478530884
1594.0499755849744,14,10.900617599487305,1,0.0,1.0,-0.3687787652015686
1594.0833089183077,14,11.083418846130371,1,0.0,1.0,-0.43067875504493713
1594.116642251641,14,11.2894926071167,1,0.0,1.0,-0.47613638639450073
1594.1499755849743,14,11.510285377502441,1,0.0,1.0,-0.5119200348854065
1594.1833089183076,14,11.729252815246582,1,0.0,1.0,-0.5324705839157104
